dataset,fold,strategy,index,sl_weight
1027_ESL,1,full,13,0.04665342463232542
1027_ESL,1,full,14,0.4294891019199234
1027_ESL,1,full,121,0.16305573789834904
1027_ESL,1,full,123,0.0692052172856097
1027_ESL,1,full,127,0.29159651826379235
1027_ESL,1,gs1,0,0.36595967240749416
1027_ESL,1,gs1,14,0.16597789582940284
1027_ESL,1,gs1,112,0.05301575637385702
1027_ESL,1,gs1,117,0.008944491385601178
1027_ESL,1,gs1,125,0.40610218400364495
1027_ESL,1,gs3,14,0.4911963060745924
1027_ESL,1,gs3,123,0.22559197713141496
1027_ESL,1,gs3,127,0.28321171679399265
1027_ESL,1,gs5,13,0.04665342463231214
1027_ESL,1,gs5,14,0.42948910191993683
1027_ESL,1,gs5,121,0.16305573789834893
1027_ESL,1,gs5,123,0.0692052172856097
1027_ESL,1,gs5,127,0.29159651826379235
1027_ESL,1,r10s1,0,0.36595967240749416
1027_ESL,1,r10s1,14,0.16597789582940284
1027_ESL,1,r10s1,112,0.05301575637385702
1027_ESL,1,r10s1,117,0.008944491385601178
1027_ESL,1,r10s1,125,0.40610218400364495
1027_ESL,1,r10s3,14,0.4911963060745924
1027_ESL,1,r10s3,123,0.22559197713141496
1027_ESL,1,r10s3,127,0.28321171679399265
1027_ESL,1,r10s5,13,0.046653424632332394
1027_ESL,1,r10s5,14,0.42948910191991646
1027_ESL,1,r10s5,121,0.16305573789834904
1027_ESL,1,r10s5,123,0.06920521728560973
1027_ESL,1,r10s5,127,0.29159651826379246
1027_ESL,1,r25s1,0,0.36595967240749416
1027_ESL,1,r25s1,14,0.16597789582940284
1027_ESL,1,r25s1,112,0.05301575637385702
1027_ESL,1,r25s1,117,0.008944491385601178
1027_ESL,1,r25s1,125,0.40610218400364495
1027_ESL,1,r25s3,14,0.4911963060745924
1027_ESL,1,r25s3,123,0.22559197713141496
1027_ESL,1,r25s3,127,0.28321171679399265
1027_ESL,1,r25s5,13,0.046653424632332394
1027_ESL,1,r25s5,14,0.42948910191991646
1027_ESL,1,r25s5,121,0.16305573789834904
1027_ESL,1,r25s5,123,0.06920521728560973
1027_ESL,1,r25s5,127,0.29159651826379246
1027_ESL,1,r50s1,0,0.36595967240749416
1027_ESL,1,r50s1,14,0.16597789582940284
1027_ESL,1,r50s1,112,0.05301575637385702
1027_ESL,1,r50s1,117,0.008944491385601178
